Name,Source,Condition,Condition augmented,proc_num#category,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Sc,Si,Sn,Ti,V,Zn,Zr
Scandium in aluminium alloys,1121,"Forged material, quenched from 635C, aged 250C/50 h",T6,10,0,0.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 3004, H11",all_alloys.csv,H11,H11,3,0,0.969484742,0,0,0,0,0,0,0.001250625,0,0,0.003501751,0,0,0.010505253,0.012506253,0,0,0.00150075,0,0,0,0.001250625,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5052, H11",all_alloys.csv,H11,H11,3,0,0.967725794,0,0,0,0,0,0.002501876,0.000500375,0,0,0.002001501,0,0,0.025018764,0.000500375,0,0,0.001250938,0,0,0,0.000500375,0
6101,Introduction,H111,H111,3,0,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0.005,0,0,0,0,0
5454,Introduction,H111,H111,3,0,0.971,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.027,0.0008,0,0,0,0,0,0,0,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5454, H111",all_alloys.csv,H111,H111,3,0,0.958197747,0,0,0,0,0,0.001251564,0.000500626,0,0,0.002002503,0,0,0.027033792,0.007509387,0,0,0.001251564,0,0.001001252,0,0.001251564,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5086, H111",all_alloys.csv,H111,H111,3,0,0.946946947,0,0,0,0,0,0.001501502,0.000500501,0,0,0.002502503,0,0,0.04004004,0.004504505,0,0,0.002002002,0,0.000750751,0,0.001251251,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5083, H111",all_alloys.csv,H111,H111,3,0,0.940470235,0,0,0,0,0,0.00150075,0.00050025,0,0,0.002001001,0,0,0.044522261,0.007003502,0,0,0.002001001,0,0.000750375,0,0.001250625,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5456, H111",all_alloys.csv,H111,H111,3,0,0.934233558,0,0,0,0,0,0.001250313,0.000500125,0,0,0.0020005,0,0,0.051012753,0.007501875,0,0,0.001250313,0,0.00100025,0,0.001250313,0
6063,Light Alloys,H112,H112,3,0,0.98075,0,0,0,0,0,0.001,0.001,0,0,0.0035,0,0,0.00675,0.001,0,0,0.004,0,0.001,0,0.001,0
